SDN	PRES300	PRES500	RAIN	WSPD
2010-10-24 0:00	297.13	496.01	0	6.9
2010-10-24 0:10	296.92	495.63	0	6.2
2010-10-24 0:20	297.41	495.37	0.01	6.7
2010-10-24 0:30	296.7	495.3	0	6.7
2010-10-24 0:40	297.34	495.97	0.01	6.9
2010-10-24 0:50	296.32	495.17	0	7.7
2010-10-24 1:00	297.43	496.31	0	7.5
2010-10-24 1:10	295.91	493.89	0	8
2010-10-24 1:20	296.17	494.34	0	6.9
2010-10-24 1:30	296.02	494.51	0.01	6.7
2010-10-24 1:40	296.4	494.86	0	7.3
2010-10-24 1:50	296.06	494.6	0	6.6
2010-10-24 2:00	296.72	494.94	0	7.3
2010-10-24 2:10	295.62	493.89	0	6.7
2010-10-24 2:20	297.3	496.12	0	7.7
2010-10-24 2:30	295.15	494.02	0	7.3
2010-10-24 2:40	296.25	495	0	7.1
2010-10-24 2:50	295.87	495	0	8
2010-10-24 3:00	297.57	496.35	0	7.7
2010-10-24 3:10	297.66	497.25	0	7.3
2010-10-24 3:20	297.51	496.42	0.01	6.7
2010-10-24 3:30	295.83	494.98	0	6.8
2010-10-24 3:40	297.02	496.54	0	7.5
2010-10-24 3:50	297.41	496.1	0	6.5
2010-10-24 4:00	296.72	496.63	0	7.3
2010-10-24 4:10	296.91	495.73	0	6.8
2010-10-24 4:20	298.38	497.36	0	7.3
2010-10-24 4:30	296.09	495.3	0.01	6.3
2010-10-24 4:40	297.26	496.2	0	7.1
2010-10-24 4:50	296.94	496.55	0.01	6.6
2010-10-24 5:00	297.28	496.39	0	6.8
2010-10-24 5:10	296.7	495.76	0.01	6.8
2010-10-24 5:20	296.08	495.9	0	6.4
2010-10-24 5:30	296.81	496.97	0	6.8
2010-10-24 5:40	297.25	497.18	0.01	6.8
2010-10-24 5:50	297.68	497.08	0	6
2010-10-24 6:00	298.34	497.12	0	6.9
2010-10-24 6:10	297.21	496.78	0	6.4
2010-10-24 6:20	297.47	496.93	0	6.4
2010-10-24 6:30	295.79	495.28	0	6.4
2010-10-24 6:40	296.53	495.71	0	5.8
2010-10-24 6:50	296.81	495.8	0	5.8
2010-10-24 7:00	297.36	496.59	0	6.2
2010-10-24 7:10	297.64	496.95	0.03	6.3
2010-10-24 7:20	297.19	497.34	0	6.2
2010-10-24 7:30	297.43	496.61	0.01	6.2
2010-10-24 7:40	298.15	497.83	0	6.2
2010-10-24 7:50	297.68	497.21	0.01	7.3
2010-10-24 8:00	297.25	496.5	0	7.4
2010-10-24 8:10	297.87	497.04	0	7
2010-10-24 8:20	298.23	497.7	0	6.5
2010-10-24 8:30	297.51	496.24	0.01	6.6
2010-10-24 8:40	297.3	497.08	0	6.9
2010-10-24 8:50	297.62	497.01	0.01	7.3
2010-10-24 9:00	297.89	497.31	0	6.3
2010-10-24 9:10	297.43	496.67	0	7.3
2010-10-24 9:20	297.28	496.44	0	7.1
2010-10-24 9:30	297.45	496.46	0.01	7.5
2010-10-24 9:40	297.72	496.75	0	7.7
2010-10-24 9:50	297.09	496.78	0	7.1
2010-10-24 10:00	296.74	496.88	0	7.5
2010-10-24 10:10	296.62	496.35	0.01	7.3
2010-10-24 10:20	297	495.34	0	7.7
2010-10-24 10:30	296.91	496.45	0.01	7.8
2010-10-24 10:40	297.02	496.5	0	7.1
2010-10-24 10:50	296.45	496.41	0	7.3
2010-10-24 11:00	297.15	496.8	0	7.3
2010-10-24 11:10	296.72	496.32	0	6.9
2010-10-24 11:20	297.04	496.33	0	6.7
2010-10-24 11:30	296.98	497.31	0.01	6.5
2010-10-24 11:40	297.3	496.91	0	6
2010-10-24 11:50	298.57	497.76	0	5.6
2010-10-24 12:00	297.51	497.65	0.01	5.6
2010-10-24 12:10	296.91	496.91	0.01	5
2010-10-24 12:20	297.43	497.5	0	5.4
2010-10-24 12:30	297.06	497.12	0	5.4
2010-10-24 12:40	297.26	497.2	0	5.4
2010-10-24 12:50	297.25	497.33	0	5.8
2010-10-24 13:00	297.7	497.55	0	5.3
2010-10-24 13:10	297.09	496.65	0	5.1
2010-10-24 13:20	296.77	496.54	0	5.1
2010-10-24 13:30	298.19	498.14	0.93	6.8
2010-10-24 13:40	297.34	496.99	0.86	7.1
2010-10-24 13:50	297.79	497.2	0.01	6.3
2010-10-24 14:00	297.72	497.14	0	6.5
2010-10-24 14:10	298.09	497.61	0	6.8
2010-10-24 14:20	297.3	496.8	0	6.4
2010-10-24 14:30	297.04	496.27	0	7.6
2010-10-24 14:40	296.57	495.67	0.01	8.5
2010-10-24 14:50	296.11	495.32	0.59	8.4
2010-10-24 15:00	296.58	495.84	0.27	7.4
2010-10-24 15:10	297.21	496.29	0.01	7.3
2010-10-24 15:20	296.62	495.94	0	8
2010-10-24 15:30	296.17	495.48	0	7.5
2010-10-24 15:40	296	495.37	0	6.8
2010-10-24 15:50	296.19	495.39	0	6.2
2010-10-24 16:00	296.81	496.22	0	6.5
2010-10-24 16:10	296.09	495.52	0.01	6.7
2010-10-24 16:20	297.07	496.52	0	7.5
2010-10-24 16:30	296.47	496.03	0	6.9
2010-10-24 16:40	296.43	495.94	0.02	7.1
