SDN	PRES300	PRES500	RAIN	WSPD
2013-10-18 00:00	299.6	497.98	NaN	4.9
2013-10-18 00:10	298.9	497.7	NaN	4.7
2013-10-18 00:20	299.46	498.26	NaN	4.6
2013-10-18 00:30	300.3	499.38	NaN	4.9
2013-10-18 00:40	299.46	498.68	NaN	4.8
2013-10-18 00:50	299.46	498.4	NaN	4.7
2013-10-18 01:00	299.74	498.54	NaN	5.3
2013-10-18 01:10	300.3	498.96	NaN	5
2013-10-18 01:20	299.46	498.4	NaN	5.1
2013-10-18 01:30	299.46	498.4	NaN	5.4
2013-10-18 01:40	299.18	497.98	NaN	5.5
2013-10-18 01:50	299.04	497.42	NaN	4.9
2013-10-18 02:00	299.88	498.26	NaN	5
2013-10-18 02:10	299.04	497.28	NaN	4.5
2013-10-18 02:20	299.04	497.28	NaN	4.3
2013-10-18 02:30	298.62	496.72	NaN	4.9
2013-10-18 02:40	298.48	497	NaN	4.4
2013-10-18 02:50	299.32	497.42	NaN	4.8
2013-10-18 03:00	299.18	497.28	NaN	4.7
2013-10-18 03:10	299.32	497.56	NaN	4.9
2013-10-18 03:20	298.34	496.44	NaN	4.5
2013-10-18 03:30	298.2	495.88	NaN	3.5
2013-10-18 03:40	297.5	495.32	NaN	4.3
2013-10-18 03:50	298.48	496.02	NaN	4.6
2013-10-18 04:00	298.2	495.74	NaN	3.9
2013-10-18 04:10	298.9	496.58	NaN	4.4
2013-10-18 04:20	299.04	496.58	NaN	4.7
2013-10-18 04:30	298.06	496.02	NaN	4.6
2013-10-18 04:40	298.48	496.58	NaN	5.2
2013-10-18 04:50	299.04	497.14	NaN	4.7
2013-10-18 05:00	298.9	497.28	NaN	4.8
2013-10-18 05:10	299.6	497.7	NaN	4.3
2013-10-18 05:20	299.46	497.56	NaN	4.2
2013-10-18 05:30	299.6	497.84	NaN	4.7
2013-10-18 05:40	299.46	498.12	NaN	5
2013-10-18 05:50	299.32	498.4	NaN	4.8
2013-10-18 06:00	299.74	498.96	NaN	5.2
2013-10-18 06:10	299.18	498.4	NaN	5.7
2013-10-18 06:20	299.74	499.1	NaN	5.6
2013-10-18 06:30	300.16	499.24	NaN	5.5
2013-10-18 06:40	299.46	498.54	NaN	5.9
2013-10-18 06:50	300.02	499.24	NaN	5.9
2013-10-18 07:00	299.74	499.1	NaN	6.1
2013-10-18 07:10	299.6	499.24	NaN	5.6
2013-10-18 07:20	299.74	498.82	NaN	5.9
2013-10-18 07:30	299.46	498.54	NaN	5.2
2013-10-18 07:40	299.88	499.24	NaN	5.1
2013-10-18 07:50	299.46	498.82	NaN	5.4
